sepal_length,sepal_width,petal_length,petal_width,petal_area,sepal_length_squared,petal_width_cubed,species_encoded,sepal_length_category_encoded
5.1,3.5,1.4,0.2,0.27999999999999997,26.009999999999998,0.008000000000000002,0,0
4.9,3.0,1.4,0.2,0.27999999999999997,24.010000000000005,0.008000000000000002,0,1
4.7,3.2,1.3,0.2,0.26,22.090000000000003,0.008000000000000002,0,1
4.6,3.1,1.5,0.2,0.30000000000000004,21.159999999999997,0.008000000000000002,0,1
5.0,3.6,1.4,0.2,0.27999999999999997,25.0,0.008000000000000002,0,1
5.4,3.9,1.7,0.4,0.68,29.160000000000004,0.06400000000000002,0,0
4.6,3.4,1.4,0.3,0.42,21.159999999999997,0.026999999999999996,0,1
5.0,3.4,1.5,0.2,0.30000000000000004,25.0,0.008000000000000002,0,1
4.4,2.9,1.4,0.2,0.27999999999999997,19.360000000000003,0.008000000000000002,0,1
4.9,3.1,1.5,0.1,0.15000000000000002,24.010000000000005,0.0010000000000000002,0,1
5.4,3.7,1.5,0.2,0.30000000000000004,29.160000000000004,0.008000000000000002,0,0
4.8,3.4,1.6,0.2,0.32000000000000006,23.04,0.008000000000000002,0,1
4.8,3.0,1.4,0.1,0.13999999999999999,23.04,0.0010000000000000002,0,1
4.3,3.0,1.1,0.1,0.11000000000000001,18.49,0.0010000000000000002,0,1
5.8,4.0,1.2,0.2,0.24,33.64,0.008000000000000002,0,0
5.7,4.4,1.5,0.4,0.6000000000000001,32.49,0.06400000000000002,0,0
5.4,3.9,1.3,0.4,0.52,29.160000000000004,0.06400000000000002,0,0
5.1,3.5,1.4,0.3,0.42,26.009999999999998,0.026999999999999996,0,0
5.7,3.8,1.7,0.3,0.51,32.49,0.026999999999999996,0,0
5.1,3.8,1.5,0.3,0.44999999999999996,26.009999999999998,0.026999999999999996,0,0
5.4,3.4,1.7,0.2,0.34,29.160000000000004,0.008000000000000002,0,0
5.1,3.7,1.5,0.4,0.6000000000000001,26.009999999999998,0.06400000000000002,0,0
4.6,3.6,1.0,0.2,0.2,21.159999999999997,0.008000000000000002,0,1
5.1,3.3,1.7,0.5,0.85,26.009999999999998,0.125,0,0
4.8,3.4,1.9,0.2,0.38,23.04,0.008000000000000002,0,1
5.0,3.0,1.6,0.2,0.32000000000000006,25.0,0.008000000000000002,0,1
5.0,3.4,1.6,0.4,0.6400000000000001,25.0,0.06400000000000002,0,1
5.2,3.5,1.5,0.2,0.30000000000000004,27.040000000000003,0.008000000000000002,0,0
5.2,3.4,1.4,0.2,0.27999999999999997,27.040000000000003,0.008000000000000002,0,0
4.7,3.2,1.6,0.2,0.32000000000000006,22.090000000000003,0.008000000000000002,0,1
4.8,3.1,1.6,0.2,0.32000000000000006,23.04,0.008000000000000002,0,1
5.4,3.4,1.5,0.4,0.6000000000000001,29.160000000000004,0.06400000000000002,0,0
5.2,4.1,1.5,0.1,0.15000000000000002,27.040000000000003,0.0010000000000000002,0,0
5.5,4.2,1.4,0.2,0.27999999999999997,30.25,0.008000000000000002,0,0
5.0,3.2,1.2,0.2,0.24,25.0,0.008000000000000002,0,1
5.5,3.5,1.3,0.2,0.26,30.25,0.008000000000000002,0,0
4.4,3.0,1.3,0.2,0.26,19.360000000000003,0.008000000000000002,0,1
5.1,3.4,1.5,0.2,0.30000000000000004,26.009999999999998,0.008000000000000002,0,0
5.0,3.5,1.3,0.3,0.39,25.0,0.026999999999999996,0,1
4.5,2.3,1.3,0.3,0.39,20.25,0.026999999999999996,0,1
4.4,3.2,1.3,0.2,0.26,19.360000000000003,0.008000000000000002,0,1
5.0,3.5,1.6,0.6,0.96,25.0,0.21599999999999997,0,1
5.1,3.8,1.9,0.4,0.76,26.009999999999998,0.06400000000000002,0,0
4.8,3.0,1.4,0.3,0.42,23.04,0.026999999999999996,0,1
5.1,3.8,1.6,0.2,0.32000000000000006,26.009999999999998,0.008000000000000002,0,0
4.6,3.2,1.4,0.2,0.27999999999999997,21.159999999999997,0.008000000000000002,0,1
5.3,3.7,1.5,0.2,0.30000000000000004,28.09,0.008000000000000002,0,0
5.0,3.3,1.4,0.2,0.27999999999999997,25.0,0.008000000000000002,0,1
7.0,3.2,4.7,1.4,6.58,49.0,2.7439999999999993,1,2
6.4,3.2,4.5,1.5,6.75,40.96000000000001,3.375,1,2
6.9,3.1,4.9,1.5,7.3500000000000005,47.61000000000001,3.375,1,2
5.5,2.3,4.0,1.3,5.2,30.25,2.197,1,0
6.5,2.8,4.6,1.5,6.8999999999999995,42.25,3.375,1,2
5.7,2.8,4.5,1.3,5.8500000000000005,32.49,2.197,1,0
6.3,3.3,4.7,1.6,7.5200000000000005,39.69,4.096000000000001,1,2
4.9,2.4,3.3,1.0,3.3,24.010000000000005,1.0,1,1
6.6,2.9,4.6,1.3,5.9799999999999995,43.559999999999995,2.197,1,2
5.2,2.7,3.9,1.4,5.46,27.040000000000003,2.7439999999999993,1,0
5.0,2.0,3.5,1.0,3.5,25.0,1.0,1,1
5.9,3.0,4.2,1.5,6.300000000000001,34.81,3.375,1,0
6.0,2.2,4.0,1.0,4.0,36.0,1.0,1,0
6.1,2.9,4.7,1.4,6.58,37.209999999999994,2.7439999999999993,1,2
5.6,2.9,3.6,1.3,4.680000000000001,31.359999999999996,2.197,1,0
6.7,3.1,4.4,1.4,6.16,44.89,2.7439999999999993,1,2
5.6,3.0,4.5,1.5,6.75,31.359999999999996,3.375,1,0
5.8,2.7,4.1,1.0,4.1,33.64,1.0,1,0
6.2,2.2,4.5,1.5,6.75,38.440000000000005,3.375,1,2
5.6,2.5,3.9,1.1,4.29,31.359999999999996,1.3310000000000004,1,0
5.9,3.2,4.8,1.8,8.64,34.81,5.832000000000001,1,0
6.1,2.8,4.0,1.3,5.2,37.209999999999994,2.197,1,2
6.3,2.5,4.9,1.5,7.3500000000000005,39.69,3.375,1,2
6.1,2.8,4.7,1.2,5.64,37.209999999999994,1.7279999999999998,1,2
6.4,2.9,4.3,1.3,5.59,40.96000000000001,2.197,1,2
6.6,3.0,4.4,1.4,6.16,43.559999999999995,2.7439999999999993,1,2
6.8,2.8,4.8,1.4,6.72,46.239999999999995,2.7439999999999993,1,2
6.7,3.0,5.0,1.7,8.5,44.89,4.912999999999999,1,2
6.0,2.9,4.5,1.5,6.75,36.0,3.375,1,0
5.7,2.6,3.5,1.0,3.5,32.49,1.0,1,0
5.5,2.4,3.8,1.1,4.18,30.25,1.3310000000000004,1,0
5.5,2.4,3.7,1.0,3.7,30.25,1.0,1,0
5.8,2.7,3.9,1.2,4.68,33.64,1.7279999999999998,1,0
6.0,2.7,5.1,1.6,8.16,36.0,4.096000000000001,1,0
5.4,3.0,4.5,1.5,6.75,29.160000000000004,3.375,1,0
6.0,3.4,4.5,1.6,7.2,36.0,4.096000000000001,1,0
6.7,3.1,4.7,1.5,7.050000000000001,44.89,3.375,1,2
6.3,2.3,4.4,1.3,5.720000000000001,39.69,2.197,1,2
5.6,3.0,4.1,1.3,5.33,31.359999999999996,2.197,1,0
5.5,2.5,4.0,1.3,5.2,30.25,2.197,1,0
5.5,2.6,4.4,1.2,5.28,30.25,1.7279999999999998,1,0
6.1,3.0,4.6,1.4,6.4399999999999995,37.209999999999994,2.7439999999999993,1,2
5.8,2.6,4.0,1.2,4.8,33.64,1.7279999999999998,1,0
5.0,2.3,3.3,1.0,3.3,25.0,1.0,1,1
5.6,2.7,4.2,1.3,5.460000000000001,31.359999999999996,2.197,1,0
5.7,3.0,4.2,1.2,5.04,32.49,1.7279999999999998,1,0
5.7,2.9,4.2,1.3,5.460000000000001,32.49,2.197,1,0
6.2,2.9,4.3,1.3,5.59,38.440000000000005,2.197,1,2
5.1,2.5,3.0,1.1,3.3000000000000003,26.009999999999998,1.3310000000000004,1,0
5.7,2.8,4.1,1.3,5.33,32.49,2.197,1,0
6.3,3.3,6.0,2.5,15.0,39.69,15.625,2,2
5.8,2.7,5.1,1.9,9.69,33.64,6.858999999999999,2,0
7.1,3.0,5.9,2.1,12.39,50.41,9.261000000000001,2,2
6.3,2.9,5.6,1.8,10.08,39.69,5.832000000000001,2,2
6.5,3.0,5.8,2.2,12.76,42.25,10.648000000000003,2,2
7.6,3.0,6.6,2.1,13.86,57.76,9.261000000000001,2,2
4.9,2.5,4.5,1.7,7.6499999999999995,24.010000000000005,4.912999999999999,2,1
7.3,2.9,6.3,1.8,11.34,53.29,5.832000000000001,2,2
6.7,2.5,5.8,1.8,10.44,44.89,5.832000000000001,2,2
7.2,3.6,6.1,2.5,15.25,51.84,15.625,2,2
6.5,3.2,5.1,2.0,10.2,42.25,8.0,2,2
6.4,2.7,5.3,1.9,10.069999999999999,40.96000000000001,6.858999999999999,2,2
6.8,3.0,5.5,2.1,11.55,46.239999999999995,9.261000000000001,2,2
5.7,2.5,5.0,2.0,10.0,32.49,8.0,2,0
5.8,2.8,5.1,2.4,12.239999999999998,33.64,13.823999999999998,2,0
6.4,3.2,5.3,2.3,12.19,40.96000000000001,12.166999999999998,2,2
6.5,3.0,5.5,1.8,9.9,42.25,5.832000000000001,2,2
7.7,3.8,6.7,2.2,14.740000000000002,59.290000000000006,10.648000000000003,2,2
7.7,2.6,6.9,2.3,15.87,59.290000000000006,12.166999999999998,2,2
6.0,2.2,5.0,1.5,7.5,36.0,3.375,2,0
6.9,3.2,5.7,2.3,13.11,47.61000000000001,12.166999999999998,2,2
5.6,2.8,4.9,2.0,9.8,31.359999999999996,8.0,2,0
7.7,2.8,6.7,2.0,13.4,59.290000000000006,8.0,2,2
6.3,2.7,4.9,1.8,8.82,39.69,5.832000000000001,2,2
6.7,3.3,5.7,2.1,11.97,44.89,9.261000000000001,2,2
7.2,3.2,6.0,1.8,10.8,51.84,5.832000000000001,2,2
6.2,2.8,4.8,1.8,8.64,38.440000000000005,5.832000000000001,2,2
6.1,3.0,4.9,1.8,8.82,37.209999999999994,5.832000000000001,2,2
6.4,2.8,5.6,2.1,11.76,40.96000000000001,9.261000000000001,2,2
7.2,3.0,5.8,1.6,9.28,51.84,4.096000000000001,2,2
7.4,2.8,6.1,1.9,11.589999999999998,54.760000000000005,6.858999999999999,2,2
7.9,3.8,6.4,2.0,12.8,62.410000000000004,8.0,2,2
6.4,2.8,5.6,2.2,12.32,40.96000000000001,10.648000000000003,2,2
6.3,2.8,5.1,1.5,7.6499999999999995,39.69,3.375,2,2
6.1,2.6,5.6,1.4,7.839999999999999,37.209999999999994,2.7439999999999993,2,2
7.7,3.0,6.1,2.3,14.029999999999998,59.290000000000006,12.166999999999998,2,2
6.3,3.4,5.6,2.4,13.44,39.69,13.823999999999998,2,2
6.4,3.1,5.5,1.8,9.9,40.96000000000001,5.832000000000001,2,2
6.0,3.0,4.8,1.8,8.64,36.0,5.832000000000001,2,0
6.9,3.1,5.4,2.1,11.340000000000002,47.61000000000001,9.261000000000001,2,2
6.7,3.1,5.6,2.4,13.44,44.89,13.823999999999998,2,2
6.9,3.1,5.1,2.3,11.729999999999999,47.61000000000001,12.166999999999998,2,2
6.8,3.2,5.9,2.3,13.57,46.239999999999995,12.166999999999998,2,2
6.7,3.3,5.7,2.5,14.25,44.89,15.625,2,2
6.7,3.0,5.2,2.3,11.959999999999999,44.89,12.166999999999998,2,2
6.3,2.5,5.0,1.9,9.5,39.69,6.858999999999999,2,2
6.5,3.0,5.2,2.0,10.4,42.25,8.0,2,2
6.2,3.4,5.4,2.3,12.42,38.440000000000005,12.166999999999998,2,2
5.9,3.0,5.1,1.8,9.18,34.81,5.832000000000001,2,0
